train,type,station_no,station,arrival_s,departure_s,arrival,departure,dwell_s,served
T22,大交路,3,站3,3279.0,3299.0,07:54:39,07:54:59,20,Y
T22,大交路,4,站4,3429.0,3449.0,07:57:09,07:57:29,20,Y
T22,大交路,5,站5,3554.0,3574.0,07:59:14,07:59:34,20,Y
T22,大交路,6,站6,3714.0,3734.0,08:01:54,08:02:14,20,Y
T22,大交路,7,站7,3859.0,3879.4,08:04:19,08:04:39,20.4,Y
T22,大交路,8,站8,3994.4,4014.4,08:06:34,08:06:54,20,Y
T22,大交路,9,站9,4149.4,4169.4,08:09:09,08:09:29,20,Y
T22,大交路,10,站10,4274.4,4294.4,08:11:14,08:11:34,20,Y
T22,大交路,11,站11,4414.4,4434.4,08:13:34,08:13:54,20,Y
T22,大交路,12,站12,4534.4,4554.4,08:15:34,08:15:54,20,Y
T23,小交路,4,站4,3573.0,3593.0,07:59:33,07:59:53,20,Y
T23,小交路,5,站5,3698.0,3718.0,08:01:38,08:01:58,20,Y
T23,小交路,6,站6,3858.0,3878.0,08:04:18,08:04:38,20,Y
T23,小交路,7,站7,4003.0,4023.4,08:06:43,08:07:03,20.4,Y
T23,小交路,8,站8,4138.4,4158.4,08:08:58,08:09:18,20,Y
T23,小交路,9,站9,4293.4,4313.4,08:11:33,08:11:53,20,Y
T23,小交路,10,站10,4418.4,4438.4,08:13:38,08:13:58,20,Y
T24,大交路,1,站1,3312.0,3332.0,07:55:12,07:55:32,20,Y
T24,大交路,2,站2,3447.0,3467.0,07:57:27,07:57:47,20,Y
T24,大交路,3,站3,3567.0,3587.0,07:59:27,07:59:47,20,Y
T24,大交路,4,站4,3717.0,3737.0,08:01:57,08:02:17,20,Y
T24,大交路,5,站5,3842.0,3862.0,08:04:02,08:04:22,20,Y
T24,大交路,6,站6,4002.0,4022.0,08:06:42,08:07:02,20,Y
T24,大交路,7,站7,4147.0,4167.4,08:09:07,08:09:27,20.4,Y
T24,大交路,8,站8,4282.4,4302.4,08:11:22,08:11:42,20,Y
T24,大交路,9,站9,4437.4,4457.4,08:13:57,08:14:17,20,Y
T24,大交路,10,站10,4562.4,4582.4,08:16:02,08:16:22,20,Y
T24,大交路,11,站11,4702.4,4722.4,08:18:22,08:18:42,20,Y
T24,大交路,12,站12,4822.4,4842.4,08:20:22,08:20:42,20,Y
T25,小交路,4,站4,3861.0,3881.0,08:04:21,08:04:41,20,Y
T25,小交路,5,站5,3986.0,4006.0,08:06:26,08:06:46,20,Y
T25,小交路,6,站6,4146.0,4166.0,08:09:06,08:09:26,20,Y
T25,小交路,7,站7,4291.0,4311.4,08:11:31,08:11:51,20.4,Y
T25,小交路,8,站8,4426.4,4446.4,08:13:46,08:14:06,20,Y
T25,小交路,9,站9,4581.4,4601.4,08:16:21,08:16:41,20,Y
T25,小交路,10,站10,4706.4,4726.4,08:18:26,08:18:46,20,Y
